IdSensore,Tipologia,Unità DiMisura,IdStazione,NomeStazione,Quota,Provincia,DataStart,DataStop,Storico,UTM_Nord,UTM_Est,lng,lat,Location
8155,Precipitazione,mm,817,Pavia SS 35,71,PV,04/05/2000,,N,5003026,511523,9.14666412,45.18062204,POINT (9.14666412 45.18062204)
9117,Precipitazione,mm,1202,Vercana,980,CO,01/01/2004,,N,5114303,525058,9.32468906,46.18185467,POINT (9.32468906 46.18185467)
32373,Umidità Relativa,%,1679,Sormano rifugio Alpetto,1158,CO,23/11/2017,,N,5083535,518233,9.23506881,45.90514139,POINT (9.23506881 45.90514139)
14083,Direzione Vento,°,1325,Collio Memmo,1069,BS,15/03/2012,,N,5073930,602209,10.31552778,45.81136111,POINT (10.31552778 45.81136111)
6169,Umidità Relativa,%,617,Tavazzano con Villavesco Enel suolo,80,LO,13/01/2000,15/06/2015,S,5020175,533401,9.42627342,45.33429114,POINT (9.42627342 45.33429114)
14190,Velocità Vento,m/s,1342,Ponte in Valtellina Lago Reguzzo,2440,SO,13/10/2012,,N,5105228,574978,9.96999939,46.09651358,POINT (9.96999939 46.09651358)
19103,Velocità Vento,m/s,594,Bergamo v.Goisis,290,BG,30/01/2014,,N,5062715,553620,9.68896994,45.71591825,POINT (9.68896994 45.71591825)
14724,Precipitazione,mm,1545,San Siro Alpe Rescascìa,1285,CO,30/12/2014,,N,5102069,518430,9.2383327,46.0719452,POINT (9.2383327 46.0719452)
2472,Umidità Relativa,%,135,Vertemate con Minoprio villa,322,CO,02/01/1993,22/07/2010,S,5062757,506658,10.204777,45.851052,POINT (10.204777 45.851052)
12755,Temperatura,°C,1510,Monza v.Monte Generoso,173,MB,25/11/2020,,N,5048372,519174,9.24580749,45.58862553,POINT (9.24580749 45.58862553)
32228,Direzione Vento,°,874,Sarnico v. Roma,197,BG,22/06/2016,,N,5057377,574538,9.95688896,45.66594103,POINT (9.95688896 45.66594103)
19436,Direzione Vento,°,1657,Mariano Comense campo sportivo,255,CO,10/10/2017,,N,5059052,513843,9.177773,45.684884,POINT (9.177773 45.684884)
9096,Precipitazione,mm,1215,Taleggio,763,BG,01/01/2004,10/11/2012,S,5082304,543960,9.56663314,45.89290225,POINT (9.56663314 45.89290225)
9322,Precipitazione,mm,625,Casalmaggiore v.Volta,23,CR,20/01/2004,21/02/2007,S,4981793,612537,10.42738161,44.98066517,POINT (10.42738161 44.98066517)
17533,Umidità Relativa,%,3,Sondalo Le Prese,950,SO,07/01/2019,,N,5133847,604242,10.35482014,46.35017631,POINT (10.35482014 46.35017631)
