IdSensore,Data,Valore,Stato
9,2023-06-01,10.4,VA
9,2023-06-02,2.8,VA
9,2023-06-03,0.6,VA
9,2023-06-04,15,VA
9,2023-06-05,1.6,VA
9,2023-06-06,2.4,VA
9,2023-06-07,2.6,VA
9,2023-06-08,1.6,VA
9,2023-06-09,0,VA
9,2023-06-10,5.7,VA
9,2023-06-11,0.6,VA
9,2023-06-12,2.2,VA
9,2023-06-13,6.2,VA
9,2023-06-14,0.4,VA
9,2023-06-15,0,VA
9,2023-06-16,0,VA
9,2023-06-17,0,VA
9,2023-06-18,0,VA
9,2023-06-19,0,VA
9,2023-06-20,0,VA
9,2023-06-21,0,VA
9,2023-06-22,0.6,VA
9,2023-06-23,2.2,VA
9,2023-06-24,0,VA
9,2023-06-25,0,VA
9,2023-06-26,0,VA
9,2023-06-27,0,VA
9,2023-06-28,0,VA
9,2023-06-29,0,VA
9,2023-06-30,10,VA
9,2023-07-01,1.6,VA
9,2023-07-02,0,VA
9,2023-07-03,5.2,VA
9,2023-07-04,17.1,VA
9,2023-07-05,14.1,VA
9,2023-07-06,8,VA
9,2023-07-07,0,VA
9,2023-07-08,0,VA
9,2023-07-09,0,VA
9,2023-07-10,0,VA
9,2023-07-11,3,VA
9,2023-07-12,44.8,VA
9,2023-07-13,9.2,VA
9,2023-07-14,0.6,VA
9,2023-07-15,0,VA
9,2023-07-16,0,VA
9,2023-07-17,0,VA
9,2023-07-18,0.6,VA
9,2023-07-19,1,VA
9,2023-07-20,0.2,VA
9,2023-07-21,8.3,VA
9,2023-07-22,0.2,VA
9,2023-07-23,0,VA
9,2023-07-24,23,VA
9,2023-07-25,8.5,VA
9,2023-07-26,0,VA
9,2023-07-27,0,VA
9,2023-07-28,0.2,VA
9,2023-07-29,0,VA
9,2023-07-30,0.2,VA
9,2023-07-31,0,VA
9,2023-08-01,6.9,VA
9,2023-08-02,0.2,VA
9,2023-08-03,0,VA
9,2023-08-04,0,VA
9,2023-08-05,0,VA
9,2023-08-06,0,VA
9,2023-08-07,0.2,VA
9,2023-08-08,0,VA
9,2023-08-09,0,VA
9,2023-08-10,0,VA
9,2023-08-11,0,VA
9,2023-08-12,0.8,VA
9,2023-08-13,0,VA
9,2023-08-14,0,VA
9,2023-08-15,17.8,VA
9,2023-08-16,6,VA
9,2023-08-17,0,VA
9,2023-08-18,0,VA
9,2023-08-19,0,VA
9,2023-08-20,0,VA
9,2023-08-21,0,VA
9,2023-08-22,0,VA
9,2023-08-23,0,VA
9,2023-08-24,0,VA
9,2023-08-25,0,VA
9,2023-08-26,2.4,VA
9,2023-08-27,0,VA
9,2023-08-28,0,VA
9,2023-08-29,0,VA
9,2023-08-30,0,VA
9,2023-08-31,7.2,VA
9,2023-09-01,0,VA
9,2023-09-02,0,VA
9,2023-09-03,0,VA
9,2023-09-04,0,VA
9,2023-09-05,0,VA
9,2023-09-06,0,VA
9,2023-09-07,0,VA
9,2023-09-08,0,VA
9,2023-09-09,0,VA
9,2023-09-10,0,VA
9,2023-09-11,0,VA
9,2023-09-12,0,VA
9,2023-09-13,16.2,VA
9,2023-09-14,2.4,VA
9,2023-09-15,3.2,VA
9,2023-09-16,0,VA
9,2023-09-17,0,VA
9,2023-09-18,21,VA
9,2023-09-19,0.2,VA
9,2023-09-20,1.6,VA
9,2023-09-21,0.6,VA
