IdSensore,Tipologia,Unità.DiMisura,IdStazione,NomeStazione,Quota,Provincia,DataStart,DataStop,Storico,lng,lat,NomeProvincia
8155,Precipitazione,mm,817,Pavia SS 35,71,PV,04/05/2000,,N,9.14666412,45.18062204,Pavia
9117,Precipitazione,mm,1202,Vercana,980,CO,01/01/2004,,N,9.32468906,46.18185467,Como
32373,Umidità Relativa,%,1679,Sormano rifugio Alpetto,1158,CO,23/11/2017,,N,9.23506881,45.90514139,Como
14724,Precipitazione,mm,1545,San Siro Alpe Rescascìa,1285,CO,30/12/2014,,N,9.2383327,46.0719452,Como
17533,Umidità Relativa,%,3,Sondalo Le Prese,950,SO,07/01/2019,,N,10.35482014,46.35017631,Sondrio
2435,Radiazione Globale,W/m²,132,Bergamo v.Stezzano,211,BG,01/01/1993,,N,9.65876847,45.66051928,Bergamo
19445,Radiazione Globale,W/m²,1659,Mornico al Serio campo sportivo,162,BG,14/04/2017,,N,9.801961,45.593154,Bergamo
14567,Precipitazione,mm,1378,Tignale Oldesio,374,BS,23/07/2013,,N,10.7209063,45.7326393,Brescia
8161,Precipitazione,mm,889,Torre Boldone,311,BG,21/11/2001,,N,9.71018546,45.71897778,Bergamo
9785,Radiazione Globale,W/m²,846,Edolo Pantano d`Avio,2108,BS,01/05/1993,,N,10.47282844,46.17700799,Brescia
22023,Temperatura,°C,1891,Porto Valtravaglia San Michele,875,VA,30/01/2020,,N,8.71373858,45.94458167,Varese
9863,Precipitazione,mm,672,Cornale v.Libertà,74,PV,28/07/2005,,N,8.91415717,45.04008561,Pavia
6430,Radiazione Globale,W/m²,595,Filago v.Don Milani,190,BG,07/12/1991,,N,9.55609572,45.63387247,Bergamo
8168,Temperatura,°C,885,Arcisate,383,VA,05/07/2000,,N,8.89055144,45.84610806,Varese
32391,Temperatura,°C,1555,Manerba del Garda Dusano,73,BS,15/11/2017,,N,10.56663509,45.543701,Brescia
7029,Temperatura,°C,687,Ferno v.Di Dio,215,VA,05/11/2006,,N,8.75697656,45.61924753,Varese
14766,Temperatura,°C,1553,Mozzanica v.Donizetti,104,BG,20/07/2015,,N,9.68248866,45.47736192,Bergamo
8587,Precipitazione,mm,998,Laveno-Mombello p.zza Matteotti,207,VA,24/06/1999,,N,8.61868535,45.90991335,Varese
14587,Temperatura,°C,1379,Gargnano,984,BS,15/07/2015,,N,10.61740677,45.72996009,Brescia
70,Altezza Neve,cm,35,Caspoggio Piazzo Cavalli,1719,SO,27/10/1989,,N,9.870887,46.249872,Sondrio
2103,Precipitazione,mm,107,Sondrio Fond.Fojanini,307,SO,29/01/2001,,N,9.85094015,46.16755337,Sondrio
8024,Altezza Neve,cm,847,Carona Carisole,1954,BG,27/09/1993,,N,9.79379959,46.03852339,Bergamo
