IdSensore,Data,Media,Min,Max,Stato
12,2023-06-01,16,11,22.7,VA
12,2023-06-02,17,10.2,23.2,VA
12,2023-06-03,16,12,19.6,VA
12,2023-06-04,14,12.2,17.7,VA
12,2023-06-05,13,11.4,15.3,VA
12,2023-06-06,15,9.6,22.2,VA
12,2023-06-07,15,10.9,21.7,VA
12,2023-06-08,15,9.9,22,VA
12,2023-06-09,17,10.6,23.9,VA
12,2023-06-10,17,13.5,22.2,VA
12,2023-06-11,17,11.1,24.7,VA
12,2023-06-12,18,12.1,23.7,VA
12,2023-06-13,16,13.1,20.5,VA
12,2023-06-14,16,11,22.1,VA
12,2023-06-15,16,10.2,23.4,VA
12,2023-06-16,17,10.9,22.4,VA
12,2023-06-17,18,11.9,25.2,VA
12,2023-06-18,19,13.2,25.8,VA
12,2023-06-19,21,15,26.9,VA
12,2023-06-20,21,16.1,27.3,VA
12,2023-06-21,21,15.8,27.6,VA
12,2023-06-22,22,16.8,30.6,VA
12,2023-06-23,20,15.1,24.8,VA
12,2023-06-24,21,16.2,28,VA
12,2023-06-25,20,14.1,26.8,VA
12,2023-06-26,22,14.2,28.9,VA
12,2023-06-27,23,17.6,28.2,VA
12,2023-06-28,21,16.1,24.2,VA
12,2023-06-29,19,14.7,22.5,VA
12,2023-06-30,17,14.6,21.1,VA
12,2023-07-01,17,13.4,22.4,VA
12,2023-07-02,20,14.2,25.9,VA
12,2023-07-03,20,14.9,26.4,VA
12,2023-07-04,17,13.2,24.9,VA
12,2023-07-05,17,11.9,24.3,VA
12,2023-07-06,15,11.6,23,VA
12,2023-07-07,18,10.3,26.3,VA
12,2023-07-08,19,14.5,25.4,VA
12,2023-07-09,22,15.6,30.2,VA
12,2023-07-10,24,17.6,31.2,VA
12,2023-07-11,25,18.7,31.4,VA
12,2023-07-12,18,14.9,23.9,VA
12,2023-07-13,16,12.8,21.8,VA
12,2023-07-14,17,12.8,23.4,VA
12,2023-07-15,21,14.4,27.4,VA
12,2023-07-16,22,16.7,29.4,VA
12,2023-07-17,23,18.1,29.7,VA
12,2023-07-18,21,17.1,29.4,VA
12,2023-07-19,19,16.2,26.7,VA
12,2023-07-20,21,16.2,28,VA
12,2023-07-21,16,13.8,21.5,VA
12,2023-07-22,17,13.1,23,VA
12,2023-07-23,19,14.5,25,VA
12,2023-07-24,16,14.3,18.1,VA
12,2023-07-25,17,12.9,24.6,VA
12,2023-07-26,16,11.6,20.1,VA
12,2023-07-27,16,9.9,22.7,VA
12,2023-07-28,18,12.2,24.6,VA
12,2023-07-29,18,13.2,24.9,VA
12,2023-07-30,18,13.3,25.6,VA
12,2023-07-31,19,13.8,25.6,VA
12,2023-08-01,17,12.9,21.7,VA
12,2023-08-02,18,11.9,23.3,VA
12,2023-08-03,20,15,26.3,VA
12,2023-08-04,18,13.3,21.7,VA
12,2023-08-05,17,12,22.4,VA
12,2023-08-06,16,11.6,20.3,VA
12,2023-08-07,14,8.9,18.4,VA
12,2023-08-08,16,8.8,22.5,VA
12,2023-08-09,16,13,21.4,VA
12,2023-08-10,19,12.7,26.5,VA
12,2023-08-11,20,14,27.7,VA
12,2023-08-12,20,16.1,28.1,VA
12,2023-08-13,21,15,28.5,VA
12,2023-08-14,21,15.9,27.3,VA
12,2023-08-15,21,15.9,28.5,VA
12,2023-08-16,20,14.7,28.2,VA
12,2023-08-17,18,14.4,25.7,VA
12,2023-08-18,20,14.6,28.5,VA
12,2023-08-19,22,15.5,30.5,VA
12,2023-08-20,23,17.7,30.8,VA
12,2023-08-21,24,18.8,31,VA
12,2023-08-22,25,19.8,32.1,VA
12,2023-08-23,24,19.4,32.6,VA
12,2023-08-24,23,19.3,32.5,VA
12,2023-08-25,24,18.5,32.2,VA
12,2023-08-26,21,16.7,27.6,VA
