IdSensore,Data,Media,Min,Max,Stato
2083,2023-06-01,60,36,90,VA
2083,2023-06-02,74,45,87,VA
2083,2023-06-03,68,51,86,VA
2083,2023-06-04,80,58,91,VA
2083,2023-06-05,81,61,99,VA
2083,2023-06-06,69,44,92,VA
2083,2023-06-07,73,48,90,VA
2083,2023-06-08,73,51,93,VA
2083,2023-06-09,67,46,88,VA
2083,2023-06-10,76,52,91,VA
2083,2023-06-11,66,43,88,VA
2083,2023-06-12,73,49,87,VA
2083,2023-06-13,80,62,93,VA
2083,2023-06-14,80,58,94,VA
2083,2023-06-15,61,37,85,VA
2083,2023-06-16,49,24,71,VA
2083,2023-06-17,47,29,61,VA
2083,2023-06-18,49,35,63,VA
2083,2023-06-19,50,37,67,VA
2083,2023-06-20,41,33,58,VA
2083,2023-06-21,49,35,65,VA
2083,2023-06-22,48,32,69,VA
2083,2023-06-23,45,21,71,VA
2083,2023-06-24,38,25,62,VA
2083,2023-06-25,43,31,61,VA
2083,2023-06-26,49,27,68,VA
2083,2023-06-27,51,34,68,VA
2083,2023-06-28,59,45,73,VA
2083,2023-06-29,65,50,81,VA
2083,2023-06-30,84,63,95,VA
2083,2023-07-01,75,45,99,VA
2083,2023-07-02,60,41,78,VA
2083,2023-07-03,59,41,75,VA
2083,2023-07-04,63,45,77,VA
2083,2023-07-05,61,42,83,VA
2083,2023-07-06,68,46,82,VA
2083,2023-07-07,61,40,91,VA
2083,2023-07-08,55,37,77,VA
2083,2023-07-09,52,33,74,VA
2083,2023-07-10,50,29,72,VA
2083,2023-07-11,43,28,68,VA
2083,2023-07-12,53,33,81,VA
2083,2023-07-13,72,47,93,VA
2083,2023-07-14,70,54,87,VA
2083,2023-07-15,59,32,89,VA
2083,2023-07-16,44,31,60,VA
2083,2023-07-17,43,25,61,VA
2083,2023-07-18,54,35,76,VA
2083,2023-07-19,58,30,82,VA
2083,2023-07-20,57,30,81,VA
2083,2023-07-21,56,32,81,VA
2083,2023-07-22,53,28,76,VA
2083,2023-07-23,45,23,65,VA
2083,2023-07-24,54,37,85,VA
2083,2023-07-25,67,41,95,VA
2083,2023-07-26,33,15,70,VA
2083,2023-07-27,37,26,55,VA
2083,2023-07-28,51,31,70,VA
2083,2023-07-29,59,37,80,VA
2083,2023-07-30,59,30,87,VA
2083,2023-07-31,61,37,83,VA
2083,2023-08-01,50,33,74,VA
2083,2023-08-02,51,32,70,VA
2083,2023-08-03,44,28,73,VA
2083,2023-08-04,52,28,76,VA
2083,2023-08-05,56,24,90,VA
2083,2023-08-06,33,13,57,VA
2083,2023-08-07,25,14,39,VA
2083,2023-08-08,28,18,45,VA
2083,2023-08-09,38,19,65,VA
2083,2023-08-10,48,28,68,VA
2083,2023-08-11,53,32,75,VA
2083,2023-08-12,51,33,73,VA
2083,2023-08-13,51,34,67,VA
2083,2023-08-14,57,37,83,VA
2083,2023-08-15,54,31,79,VA
2083,2023-08-16,53,32,76,VA
2083,2023-08-17,54,24,79,VA
2083,2023-08-18,51,32,79,VA
2083,2023-08-19,49,28,70,VA
2083,2023-08-20,46,25,71,VA
2083,2023-08-21,36,26,53,VA
2083,2023-08-22,34,21,53,VA
2083,2023-08-23,34,19,49,VA
2083,2023-08-24,39,24,53,VA
2083,2023-08-25,29,17,46,VA
2083,2023-08-26,41,28,62,VA
2083,2023-08-27,65,41,95,VA
2083,2023-08-28,97,84,100,VA
2083,2023-08-29,67,38,94,VA
2083,2023-08-30,52,31,69,VA
2083,2023-08-31,57,34,70,VA
2083,2023-09-01,58,43,75,VA
2083,2023-09-02,59,40,79,VA
2083,2023-09-03,57,37,81,VA
2083,2023-09-04,56,45,68,VA
2083,2023-09-05,54,40,76,VA
2083,2023-09-06,49,36,68,VA
2083,2023-09-07,47,34,60,VA
2083,2023-09-08,47,32,61,VA
2083,2023-09-09,47,34,59,VA
2083,2023-09-10,47,32,57,VA
2083,2023-09-11,49,33,71,VA
2083,2023-09-12,55,37,74,VA
2083,2023-09-13,56,39,87,VA
2083,2023-09-14,79,56,90,VA
2083,2023-09-15,81,61,93,VA
2083,2023-09-16,83,56,94,VA
2083,2023-09-17,82,66,93,VA
2083,2023-09-18,71,45,99,VA
2083,2023-09-19,69,49,93,VA
2083,2023-09-20,71,39,88,VA
2083,2023-09-21,77,56,90,VA
2083,2023-09-22,61,47,87,VA
2083,2023-09-23,68,44,86,VA
2083,2023-09-24,59,38,77,VA
2083,2023-09-25,58,39,72,VA
2083,2023-09-26,57,41,74,VA
2083,2023-09-27,60,38,86,VA
2083,2023-09-28,56,35,75,VA
2083,2023-09-29,56,40,73,VA
2083,2023-09-30,60,37,74,VA
2083,2023-10-01,58,37,75,VA
2083,2023-10-02,58,33,80,VA
2083,2023-10-03,59,35,82,VA
2083,2023-10-04,68,48,82,VA
2083,2023-10-05,77,58,92,VA
2083,2023-10-06,74,55,88,VA
2083,2023-10-07,74,48,92,VA
2083,2023-10-08,50,18,85,VA
2083,2023-10-09,34,18,43,VA
2083,2023-10-10,46,26,81,VA
2083,2023-10-11,72,48,92,VA
2083,2023-10-12,76,47,96,VA
2083,2023-10-13,65,43,83,VA
2083,2023-10-14,65,40,80,VA
2083,2023-10-15,52,23,86,VA
2083,2023-10-16,62,31,79,VA
2083,2023-10-17,64,39,89,VA
2083,2023-10-18,85,65,98,VA
2083,2023-10-19,99,98,100,VA
2083,2023-10-20,72,46,100,VA
2083,2023-10-21,65,48,79,VA
2083,2023-10-22,65,43,86,VA
2083,2023-10-23,71,45,97,VA
2083,2023-10-24,99,97,100,VA
2083,2023-10-25,91,58,100,VA
2083,2023-10-26,88,65,100,VA
2083,2023-10-27,73,31,100,VA
2083,2023-10-28,51,35,72,VA
2083,2023-10-29,84,62,97,VA
2083,2023-10-30,97,65,99,VA
2083,2023-10-31,59,33,89,VA
2083,2023-11-01,80,61,98,VA
2083,2023-11-02,95,77,100,VA
2083,2023-11-03,73,39,98,VA
2083,2023-11-04,73,47,96,VA
2083,2023-11-05,88,58,100,VA
2083,2023-11-06,56,38,68,VA
2083,2023-11-07,80,61,94,VA
2083,2023-11-08,82,62,94,VA
2083,2023-11-09,86,73,98,VA
2083,2023-11-10,99,98,99,VA
2083,2023-11-11,63,26,99,VA
2083,2023-11-12,76,62,92,VA
2083,2023-11-13,78,58,92,VA
2083,2023-11-14,91,74,99,VA
2083,2023-11-15,61,26,99,VA
2083,2023-11-16,57,31,86,VA
2083,2023-11-17,48,26,93,VA
2083,2023-11-18,40,24,49,VA
2083,2023-11-19,61,45,87,VA
2083,2023-11-20,85,65,96,VA
2083,2023-11-21,87,65,99,VA
2083,2023-11-22,65,43,90,VA
2083,2023-11-23,57,43,73,VA
2083,2023-11-24,44,23,64,VA
2083,2023-11-25,27,17,36,VA
2083,2023-11-26,32,15,62,VA
2083,2023-11-27,77,62,93,VA
2083,2023-11-28,62,29,93,VA
2083,2023-11-29,34,19,56,VA
2083,2023-11-30,92,56,99,VA
2083,2023-12-01,100,99,100,VA
2083,2023-12-02,68,33,100,VA
2083,2023-12-03,60,40,83,VA
2083,2023-12-04,88,71,96,VA
2083,2023-12-05,98,96,99,VA
2083,2023-12-06,74,46,98,VA
2083,2023-12-07,54,42,68,VA
2083,2023-12-08,89,61,98,VA
2083,2023-12-09,99,98,100,VA
2083,2023-12-10,75,28,100,VA
2083,2023-12-11,66,43,91,VA
2083,2023-12-12,96,92,99,VA
2083,2023-12-13,99,99,100,VA
2083,2023-12-14,86,51,100,VA
2083,2023-12-15,45,29,58,VA
2083,2023-12-16,61,43,80,VA
2083,2023-12-17,79,56,93,VA
2083,2023-12-18,57,38,73,VA
2083,2023-12-19,42,26,54,VA
2083,2023-12-20,58,42,77,VA
2083,2023-12-21,41,25,61,VA
2083,2023-12-22,30,23,40,VA
2083,2023-12-23,25,17,34,VA
2083,2023-12-24,39,18,72,VA
2083,2023-12-25,66,47,87,VA
2083,2023-12-26,82,64,93,VA
2083,2023-12-27,84,77,91,VA
2083,2023-12-28,91,70,97,VA
2083,2023-12-29,99,96,99,VA
2083,2023-12-30,99,97,100,VA
2083,2023-12-31,100,99,100,VA
2083,2024-01-01,90,64,100,VA
2083,2024-01-02,83,70,96,VA
2083,2024-01-03,95,80,100,VA
2083,2024-01-04,51,22,92,VA
2083,2024-01-05,85,51,99,VA
2083,2024-01-06,100,99,100,VA
2083,2024-01-07,99,97,100,VA
2083,2024-01-08,90,70,99,VA
2083,2024-01-09,60,48,74,VA
2083,2024-01-10,55,47,65,VA
2083,2024-01-11,67,48,82,VA
2083,2024-01-12,69,48,92,VA
2083,2024-01-13,81,56,95,VA
2083,2024-01-14,86,73,96,VA
2083,2024-01-15,83,60,96,VA
2083,2024-01-16,73,47,95,VA
2083,2024-01-17,98,94,99,VA
2083,2024-01-18,97,91,100,VA
2083,2024-01-19,88,54,100,VA
2083,2024-01-20,44,16,71,VA
2083,2024-01-21,41,14,69,VA
2083,2024-01-22,41,21,68,VA
2083,2024-01-23,49,18,91,VA
2083,2024-01-24,51,39,60,VA
2083,2024-01-25,47,24,73,VA
2083,2024-01-26,80,63,89,VA
2083,2024-01-27,37,12,66,VA
2083,2024-01-28,68,29,89,VA
2083,2024-01-29,69,48,80,VA
2083,2024-01-30,67,42,81,VA
2083,2024-01-31,53,29,67,VA
2083,2024-02-01,60,35,83,VA
2083,2024-02-02,47,21,78,VA
2083,2024-02-03,39,27,63,VA
2083,2024-02-04,42,25,63,VA
2083,2024-02-05,55,36,79,VA
2083,2024-02-06,76,55,88,VA
2083,2024-02-07,79,59,88,VA
2083,2024-02-08,75,54,84,VA
2083,2024-02-09,73,51,86,VA
2083,2024-02-10,90,72,99,VA
2083,2024-02-11,91,71,99,VA
2083,2024-02-12,66,38,88,VA
2083,2024-02-13,72,39,95,VA
2083,2024-02-14,50,34,73,VA
2083,2024-02-15,63,38,74,VA
2083,2024-02-16,66,46,83,VA
2083,2024-02-17,63,36,82,VA
2083,2024-02-18,64,42,81,VA
2083,2024-02-19,54,27,81,VA
2083,2024-02-20,47,27,80,VA
2083,2024-02-21,45,29,60,VA
2083,2024-02-22,66,48,89,VA
2083,2024-02-23,84,62,95,VA
2083,2024-02-24,69,42,93,VA
2083,2024-02-25,75,47,90,VA
2083,2024-02-26,84,70,95,VA
2083,2024-02-27,98,95,99,VA
2083,2024-02-28,96,84,100,VA
2083,2024-02-29,86,76,93,VA
2083,2024-03-01,97,89,99,VA
2083,2024-03-02,87,60,100,VA
2083,2024-03-03,78,62,95,VA
2083,2024-03-04,91,73,100,VA
2083,2024-03-05,70,49,88,VA
2083,2024-03-06,81,59,95,VA
2083,2024-03-07,67,47,79,VA
2083,2024-03-08,72,45,93,VA
2083,2024-03-09,93,83,98,VA
2083,2024-03-10,80,50,98,VA
2083,2024-03-11,80,69,94,VA
2083,2024-03-12,49,23,83,VA
2083,2024-03-13,47,34,76,VA
